clarity_id,metric,metric_year,provider_code,clarity_industry_code,clarity_industry_name,country_code,co2directscope1_raw,revenue,co2directscope1_intensity,verification_co2directscope1,targets_emissions,policy_emissions,sbti_alignment,nz_statement
01FF543RN5MZWC981FMFGMM6E4,CO2DIRECTSCOPE1,2017,TRC8,25301040/0,Restaurants,GB,941268.4250000002,76480.87414400441,12.307239365853787,,100,100,100,100
01FF543SRJYTXND0M7XQC1TP4J,CO2DIRECTSCOPE1,2005,TRC8,25102010/0,Automobile Manufacturers,KR,46517283.25626831,1924310.2105759587,24.173484607944463,,100,100,,100
01FF543VB1A9CJMHM3ECG1RB6Z,CO2DIRECTSCOPE1,2014,TRC1,15104040/0,Precious Metals & Minerals,BM,5525173.1625,58989.97308311621,93.66292055626289,,100,100,,1
01FF543T095C9344VSA8AX6M7X,CO2DIRECTSCOPE1,2017,TRC8,35101020/0,Health Care Supplies,JP,2686056.9500000016,553894.2980282858,4.849403504534419,,100,100,,1
01FF543WBGY98G1H88BVQG93P0,CO2DIRECTSCOPE1,2008,TRC1,15101050/0,Specialty Chemicals,US,391674480.0,852890.0,459.2321166856218,,100,100,,1
01FF543V69NSQ75GWEVS0G23G0,CO2DIRECTSCOPE1,2020,TRC1,45202030/0,"Technology Hardware, Storage & Peripherals",TW,279640.875,814000.6578222192,0.3435388808507261,100,100,100,100,1
01FF543RPMHDX1FA3YX38TZMTP,CO2DIRECTSCOPE1,2006,TRC8,40101010/0,Diversified Banks,GB,12099897.55,2746248.27741784,4.40597365121588,,100,100,100,100
01FF543VA930PY88SGF3CRE2YA,CO2DIRECTSCOPE1,2015,TRC1,25102010/0,Automobile Manufacturers,DE,134064161.875,17623041.971785873,7.607322395851633,,100,100,,1
01FF543RZ3KYTQYQWNNBBQ90F6,CO2DIRECTSCOPE1,2011,TRC1,15104020/0,Diversified Metals & Mining,CA,331301407.875,182152.75581238596,1818.810845860792,,100,1,,
01FF543SNJB68QP35JHHZBM44K,CO2DIRECTSCOPE1,2015,TRC1,55100000/1,Electricity generation utilities,ES,287982.5,182315.19088855543,1.5795858732146806,,100,100,1,
